username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
realDonaldTrump;2018-01-13 21:14;35170;146831;"AMERICA FIRST!";;;;"952166927476183040";https://twitter.com/realDonaldTrump/status/952166927476183040
realDonaldTrump;2018-01-13 21:14;20548;100385;"The Democrats are all talk and no action. They are doing nothing to fix DACA. Great opportunity missed. Too bad!";;;;"952166857670320128";https://twitter.com/realDonaldTrump/status/952166857670320128
realDonaldTrump;2018-01-13 21:13;23235;113725;"Yesterday was a big day for the stock market. Jobs are coming back to America. Chrysler is coming back to the USA, from Mexico and many others will follow. Tax cut money to employees is pouring into our economy with many more companies announcing. American business is hot again!";;;;"952166643202916352";https://twitter.com/realDonaldTrump/status/952166643202916352
realDonaldTrump;2018-01-13 01:56;25043;105303;"Today, it was my great honor to proclaim January 15, 2018, as Martin Luther King Jr., Federal Holiday. I encourage all Americans to observe this day with appropriate civic, community, and service activities in honor of Dr. King's life and legacy.pic.twitter.com/samlJsz1Nt";;;;"951875499537641472";https://twitter.com/realDonaldTrump/status/951875499537641472
realDonaldTrump;2018-01-12 21:48;34190;132944;"Never said anything derogatory about Haitians other than Haiti is, obviously, a very poor and troubled country. Never said “take them out.” Made up by Dems. I have a wonderful relationship with Haitians. Probably should record future meetings - unfortunately, no trust!";;;;"951813216291708928";https://twitter.com/realDonaldTrump/status/951813216291708928
realDonaldTrump;2018-01-12 20:50;30086;119941;"Sadly, Democrats want to stop paying our troops and government workers in order to give a sweetheart deal, not a fair deal, for DACA. Take care of our Military, and our Country, FIRST!";;;;"951798415301718017";https://twitter.com/realDonaldTrump/status/951798415301718017
realDonaldTrump;2018-01-12 20:28;23145;99417;"The language used by me at the DACA meeting was tough, but this was not the language used. What was really tough was the outlandish proposal made - a big setback for DACA!";;;;"951793123985973248";https://twitter.com/realDonaldTrump/status/951793123985973248
realDonaldTrump;2018-01-12 20:20;21602;88558;"....Because of the Democrats not being interested in life and safety, DACA has now taken a big step backwards. The Dems will threaten “shutdown,” but what they are really doing is shutting down our military, at a time we need it most. Get smart, MAKE AMERICA GREAT AGAIN!";;;;"951790999784783872";https://twitter.com/realDonaldTrump/status/951790999784783872
realDonaldTrump;2018-01-12 20:09;22968;106006;"....countries which are doing badly. I want a merit based system of immigration and people who will help take our country to the next level. I want safety and security for our people. I want to stop the massive inflow of drugs. I want to fund our military, not do a Dem defund....";;;;"951788342647107584";https://twitter.com/realDonaldTrump/status/951788342647107584
realDonaldTrump;2018-01-12 19:59;20279;80484;"The so-called bipartisan DACA deal presented yesterday to myself and a group of Republican Senators and Congressmen was a big step backwards. Wall was not properly funded, Chain & Lottery were made worse and USA would be forced to take large numbers of people from high crime.....";;;;"951785587765280768";https://twitter.com/realDonaldTrump/status/951785587765280768
realDonaldTrump;2018-01-12 12:57;27963;119758;"Reason I canceled my trip to London is that I am not a big fan of the Obama Administration having sold perhaps the best located and finest embassy in London for “peanuts,” only to build a new one in an off location for 1.2 billion dollars. Bad deal. Wanted me to cut ribbon-NO!";;;;"951679619341737986";https://twitter.com/realDonaldTrump/status/951679619341737986
realDonaldTrump;2018-01-12 12:42;27710;117752;"The Democrats seem intent on having people and drugs pour into our country from the Southern Border, risking thousands of lives in the process. It is my duty to protect the lives and safety of all Americans. We must build a Great Wall, think Merit and end Lottery & Chain. USA!";;;;"951675713089888256";https://twitter.com/realDonaldTrump/status/951675713089888256
realDonaldTrump;2018-01-12 11:01;21656;95346;"Democrat Dianne Feinstein should never have released secret committee testimony to the public without authorization. Very disrespectful to committee members and possibly illegal. She blamed her poor decision on the fact she had a cold - a first!";;;;"951650274032209920";https://twitter.com/realDonaldTrump/status/951650274032209920
realDonaldTrump;2018-01-12 10:53;24562;111321;"Chrysler is moving a massive plant from Mexico to Michigan, reversing a years long opposite trend. Thank you Chrysler, a very wise decision. The voters in Michigan are very happy they voted for Trump/Pence. Plenty of more to follow!";;;;"951648197440569344";https://twitter.com/realDonaldTrump/status/951648197440569344
realDonaldTrump;2018-01-12 10:49;18227;70933;"More great news as a result of historical Tax Cuts and Reform: Fiat Chrysler announces plan to invest more than $1 BILLION in Michigan plant, relocating their heavy-truck production from Mexico to Michigan, adding 2,500 new jobs and paying $2,000 bonus to U.S. employees!pic.twitter.com/47azKD0l9B";;;;"951647402599026689";https://twitter.com/realDonaldTrump/status/951647402599026689
realDonaldTrump;2018-01-12 10:47;12558;65880;"Small Business Poll has highest approval numbers in the polls history. All business is just at the beginning of something really special!";;;;"951646736233189377";https://twitter.com/realDonaldTrump/status/951646736233189377
realDonaldTrump;2018-01-12 10:43;14719;73527;"Thank you Adam Levine, The Federalist, in interview on @ foxandfriends “Donald Trump is the greatest President our Country has ever seen.”";;@;;"951645893513613312";https://twitter.com/realDonaldTrump/status/951645893513613312
realDonaldTrump;2018-01-12 07:27;13048;57349;"Yesterday, I signed the # INTERDICTAct (H.R. 2142) with bipartisan members of Congress to help end the flow of drugs into our country. Together, we are committed to doing everything we can to combat the deadly scourge of drug addiction and overdose in the United States!pic.twitter.com/ELZvFol5Lo";;;#;"951596346011680768";https://twitter.com/realDonaldTrump/status/951596346011680768
realDonaldTrump;2018-01-11 23:37;14324;60417;"Great news, as a result of our TAX CUTS & JOBS ACT!pic.twitter.com/SLvhLxP3Jl";;;;"951478281303416832";https://twitter.com/realDonaldTrump/status/951478281303416832
realDonaldTrump;2018-01-11 22:14;11702;58513;"With that being said, I have personally directed the fix to the unmasking process since taking office and today’s vote is about foreign surveillance of foreign bad guys on foreign land. We need it! Get smart!";;;;"951457382651056128";https://twitter.com/realDonaldTrump/status/951457382651056128
realDonaldTrump;2018-01-11 21:11;15168;81361;"“45 year low in illegal immigration this year.” @ foxandfriends";;@;;"951441504203104256";https://twitter.com/realDonaldTrump/status/951441504203104256
realDonaldTrump;2018-01-11 20:33;16218;69764;"“House votes on controversial FISA ACT today.” This is the act that may have been used, with the help of the discredited and phony Dossier, to so badly surveil and abuse the Trump Campaign by the previous administration and others?";;;;"951431836030459905";https://twitter.com/realDonaldTrump/status/951431836030459905
realDonaldTrump;2018-01-11 19:43;20084;93451;"In new Quinnipiac Poll, 66% of people feel the economy is “Excellent or Good.” That is the highest number ever recorded by this poll.";;;;"951419415794511872";https://twitter.com/realDonaldTrump/status/951419415794511872
realDonaldTrump;2018-01-11 19:33;21953;79640;"Disproven and paid for by Democrats “Dossier used to spy on Trump Campaign. Did FBI use Intel tool to influence the Election?” @ foxandfriends Did Dems or Clinton also pay Russians? Where are hidden and smashed DNC servers? Where are Crooked Hillary Emails? What a mess!";;@;;"951416674808467461";https://twitter.com/realDonaldTrump/status/951416674808467461
